id,doctor_id,datetime,is_available
0,0,2025-03-01 8:00 AM,1
1,0,2025-03-01 8:30 AM,1
2,0,2025-03-01 9:00 AM,1
3,0,2025-03-01 9:30 AM,1
4,0,2025-03-01 10:00 AM,1
5,0,2025-03-01 10:30 AM,1
6,0,2025-03-01 11:00 AM,0
7,0,2025-03-01 11:30 AM,1
8,0,2025-03-01 12:00 PM,1
9,0,2025-03-01 12:30 PM,0
10,0,2025-03-01 1:00 PM,1
11,0,2025-03-01 1:30 PM,1
12,0,2025-03-01 2:00 PM,1
13,0,2025-03-01 2:30 PM,1
14,0,2025-03-01 3:00 PM,1
15,0,2025-03-01 3:30 PM,1
16,0,2025-03-01 4:00 PM,1
17,0,2025-03-01 4:30 PM,0
18,0,2025-03-01 5:00 PM,1
19,0,2025-03-01 5:30 PM,1
20,0,2025-03-03 8:00 AM,1
21,0,2025-03-03 8:30 AM,1
22,0,2025-03-03 9:00 AM,1
23,0,2025-03-03 9:30 AM,1
24,0,2025-03-03 10:00 AM,1
25,0,2025-03-03 10:30 AM,1
26,0,2025-03-03 11:00 AM,1
27,0,2025-03-03 11:30 AM,1
28,0,2025-03-03 12:00 PM,0
29,0,2025-03-03 12:30 PM,0
30,0,2025-03-03 1:00 PM,1
31,0,2025-03-03 1:30 PM,1
32,0,2025-03-03 2:00 PM,1
33,0,2025-03-03 2:30 PM,1
34,0,2025-03-03 3:00 PM,0
35,0,2025-03-03 3:30 PM,0
36,0,2025-03-03 4:00 PM,1
37,0,2025-03-03 4:30 PM,1
38,0,2025-03-03 5:00 PM,1
39,0,2025-03-03 5:30 PM,1
40,0,2025-03-04 8:00 AM,1
41,0,2025-03-04 8:30 AM,1
42,0,2025-03-04 9:00 AM,1
43,0,2025-03-04 9:30 AM,1
44,0,2025-03-04 10:00 AM,0
45,0,2025-03-04 10:30 AM,1
46,0,2025-03-04 11:00 AM,0
47,0,2025-03-04 11:30 AM,1
48,0,2025-03-04 12:00 PM,1
49,0,2025-03-04 12:30 PM,1
50,0,2025-03-04 1:00 PM,1
51,0,2025-03-04 1:30 PM,0
52,0,2025-03-04 2:00 PM,1
53,0,2025-03-04 2:30 PM,1
54,0,2025-03-04 3:00 PM,1
55,0,2025-03-04 3:30 PM,1
56,0,2025-03-04 4:00 PM,1
57,0,2025-03-04 4:30 PM,1
58,0,2025-03-04 5:00 PM,0
59,0,2025-03-04 5:30 PM,1
60,0,2025-03-05 8:00 AM,1
61,0,2025-03-05 8:30 AM,1
62,0,2025-03-05 9:00 AM,1
63,0,2025-03-05 9:30 AM,1
64,0,2025-03-05 10:00 AM,1
65,0,2025-03-05 10:30 AM,1
66,0,2025-03-05 11:00 AM,1
67,0,2025-03-05 11:30 AM,1
68,0,2025-03-05 12:00 PM,0
69,0,2025-03-05 12:30 PM,1
70,0,2025-03-05 1:00 PM,1
71,0,2025-03-05 1:30 PM,1
72,0,2025-03-05 2:00 PM,1
73,0,2025-03-05 2:30 PM,1
74,0,2025-03-05 3:00 PM,0
75,0,2025-03-05 3:30 PM,1
76,0,2025-03-05 4:00 PM,1
77,0,2025-03-05 4:30 PM,0
78,0,2025-03-05 5:00 PM,1
79,0,2025-03-05 5:30 PM,0
80,0,2025-03-06 8:00 AM,1
81,0,2025-03-06 8:30 AM,1
82,0,2025-03-06 9:00 AM,0
83,0,2025-03-06 9:30 AM,0
84,0,2025-03-06 10:00 AM,0
85,0,2025-03-06 10:30 AM,0
86,0,2025-03-06 11:00 AM,1
87,0,2025-03-06 11:30 AM,0
88,0,2025-03-06 12:00 PM,1
89,0,2025-03-06 12:30 PM,1
90,0,2025-03-06 1:00 PM,1
91,0,2025-03-06 1:30 PM,1
92,0,2025-03-06 2:00 PM,1
93,0,2025-03-06 2:30 PM,1
94,0,2025-03-06 3:00 PM,0
95,0,2025-03-06 3:30 PM,0
96,0,2025-03-06 4:00 PM,1
97,0,2025-03-06 4:30 PM,1
98,0,2025-03-06 5:00 PM,0
99,0,2025-03-06 5:30 PM,1
100,0,2025-03-07 8:00 AM,1
101,0,2025-03-07 8:30 AM,1
102,0,2025-03-07 9:00 AM,0
103,0,2025-03-07 9:30 AM,1
104,0,2025-03-07 10:00 AM,1
105,0,2025-03-07 10:30 AM,1
106,0,2025-03-07 11:00 AM,0
107,0,2025-03-07 11:30 AM,0
108,1,2025-03-01 8:00 AM,1
109,1,2025-03-01 8:30 AM,1
110,1,2025-03-01 9:00 AM,1
111,1,2025-03-01 9:30 AM,0
112,1,2025-03-01 10:00 AM,1
113,1,2025-03-01 10:30 AM,0
114,1,2025-03-01 11:00 AM,0
115,1,2025-03-01 11:30 AM,1
116,1,2025-03-01 12:00 PM,1
117,1,2025-03-01 12:30 PM,0
118,1,2025-03-01 1:00 PM,1
119,1,2025-03-01 1:30 PM,1
120,1,2025-03-01 2:00 PM,1
121,1,2025-03-01 2:30 PM,0
122,1,2025-03-01 3:00 PM,1
123,1,2025-03-01 3:30 PM,1
124,1,2025-03-01 4:00 PM,0
125,1,2025-03-01 4:30 PM,1
126,1,2025-03-01 5:00 PM,1
127,1,2025-03-01 5:30 PM,0
128,1,2025-03-03 8:00 AM,1
129,1,2025-03-03 8:30 AM,1
130,1,2025-03-03 9:00 AM,1
131,1,2025-03-03 9:30 AM,1
132,1,2025-03-03 10:00 AM,1
133,1,2025-03-03 10:30 AM,0
134,1,2025-03-03 11:00 AM,0
135,1,2025-03-03 11:30 AM,1
136,1,2025-03-03 12:00 PM,1
137,1,2025-03-03 12:30 PM,1
138,1,2025-03-03 1:00 PM,1
139,1,2025-03-03 1:30 PM,0
140,1,2025-03-03 2:00 PM,1
141,1,2025-03-03 2:30 PM,1
142,1,2025-03-03 3:00 PM,0
143,1,2025-03-03 3:30 PM,0
144,1,2025-03-03 4:00 PM,1
145,1,2025-03-03 4:30 PM,1
146,1,2025-03-03 5:00 PM,1
147,1,2025-03-03 5:30 PM,1
148,1,2025-03-04 8:00 AM,1
